img_id,building_percentage
TRAIN_0208,0.168
TRAIN_2533,0.168
TRAIN_6722,0.168
TRAIN_3123,0.167
TRAIN_3678,0.167
TRAIN_4605,0.167
TRAIN_5056,0.166
TRAIN_6420,0.166
TRAIN_1438,0.165
TRAIN_1595,0.165
TRAIN_3120,0.165
TRAIN_4822,0.165
TRAIN_5338,0.165
TRAIN_3834,0.164
TRAIN_5717,0.164
TRAIN_0691,0.163
TRAIN_0991,0.163
TRAIN_1415,0.163
TRAIN_2587,0.163
TRAIN_3496,0.163
TRAIN_3601,0.163
TRAIN_4081,0.163
TRAIN_4092,0.163
TRAIN_1121,0.162
TRAIN_2165,0.162
TRAIN_5642,0.162
TRAIN_7014,0.162
TRAIN_2824,0.161
TRAIN_2910,0.161
TRAIN_3131,0.161
TRAIN_6219,0.161
TRAIN_6871,0.161
TRAIN_1549,0.16
TRAIN_3833,0.16
TRAIN_4174,0.16
TRAIN_4337,0.16
TRAIN_6148,0.16
TRAIN_6561,0.16
TRAIN_2681,0.159
TRAIN_3428,0.159
TRAIN_3861,0.159
TRAIN_4163,0.159
TRAIN_0321,0.158
TRAIN_2404,0.158
TRAIN_3499,0.158
TRAIN_4307,0.158
TRAIN_5005,0.158
TRAIN_5148,0.158
TRAIN_4536,0.157
TRAIN_4847,0.157
TRAIN_6132,0.157
TRAIN_6161,0.157
TRAIN_6398,0.157
TRAIN_6971,0.157
TRAIN_3538,0.156
TRAIN_4376,0.156
TRAIN_5200,0.156
TRAIN_6403,0.156
TRAIN_6681,0.156
TRAIN_0341,0.155
TRAIN_2620,0.155
TRAIN_3327,0.155
TRAIN_4441,0.155
TRAIN_6899,0.155
TRAIN_0158,0.154
TRAIN_0477,0.154
TRAIN_2044,0.154
TRAIN_2502,0.154
TRAIN_4052,0.154
TRAIN_5192,0.154
TRAIN_2171,0.153
TRAIN_2488,0.153
TRAIN_3359,0.153
TRAIN_3958,0.153
TRAIN_4259,0.153
TRAIN_4993,0.153
TRAIN_5947,0.153
TRAIN_6459,0.153
TRAIN_0646,0.152
TRAIN_1698,0.152
TRAIN_1802,0.152
TRAIN_2355,0.152
TRAIN_2410,0.152
TRAIN_3654,0.152
TRAIN_4138,0.152
TRAIN_4688,0.152
TRAIN_5378,0.152
TRAIN_7105,0.152
TRAIN_0187,0.151
TRAIN_2634,0.151
TRAIN_3241,0.151
TRAIN_4060,0.151
TRAIN_5111,0.151
TRAIN_5126,0.151
TRAIN_5142,0.151
TRAIN_5824,0.151
TRAIN_5859,0.151
TRAIN_0241,0.15
TRAIN_1446,0.15
TRAIN_1847,0.15
TRAIN_1996,0.15
TRAIN_2370,0.15
TRAIN_3226,0.15
TRAIN_3536,0.15
TRAIN_4105,0.15
TRAIN_4277,0.15
TRAIN_5571,0.15
TRAIN_6408,0.15
TRAIN_1445,0.149
TRAIN_3126,0.149
TRAIN_3608,0.149
TRAIN_3649,0.149
TRAIN_4543,0.149
TRAIN_4832,0.149
TRAIN_4937,0.149
TRAIN_6248,0.149
TRAIN_0140,0.148
TRAIN_0240,0.148
TRAIN_0682,0.148
TRAIN_1453,0.148
TRAIN_1536,0.148
TRAIN_1668,0.148
TRAIN_3216,0.148
TRAIN_3492,0.148
TRAIN_3625,0.148
TRAIN_3766,0.148
TRAIN_4725,0.148
TRAIN_4737,0.148
TRAIN_4796,0.148
TRAIN_6727,0.148
TRAIN_0651,0.147
TRAIN_0791,0.147
TRAIN_1292,0.147
TRAIN_1928,0.147
TRAIN_2183,0.147
TRAIN_4007,0.147
TRAIN_4224,0.147
TRAIN_5386,0.147
TRAIN_1748,0.146
TRAIN_2026,0.146
TRAIN_2459,0.146
TRAIN_4079,0.146
TRAIN_4878,0.146
TRAIN_5478,0.146
TRAIN_6487,0.146
TRAIN_0665,0.145
TRAIN_1586,0.145
TRAIN_3012,0.145
TRAIN_3184,0.145
TRAIN_4476,0.145
TRAIN_4578,0.145
TRAIN_5871,0.145
TRAIN_6434,0.145
TRAIN_6936,0.145
TRAIN_2663,0.144
TRAIN_3053,0.144
TRAIN_3694,0.144
TRAIN_3796,0.144
TRAIN_4383,0.144
TRAIN_4481,0.144
TRAIN_6325,0.144
TRAIN_6800,0.144
TRAIN_0473,0.143
TRAIN_2524,0.143
TRAIN_2744,0.143
TRAIN_3217,0.143
TRAIN_3252,0.143
TRAIN_4463,0.143
TRAIN_5053,0.143
TRAIN_5494,0.143
TRAIN_5546,0.143
TRAIN_0136,0.142
TRAIN_1430,0.142
TRAIN_2647,0.142
TRAIN_2958,0.142
TRAIN_3096,0.142
TRAIN_4327,0.142
TRAIN_4485,0.142
TRAIN_4632,0.142
TRAIN_4834,0.142
TRAIN_5274,0.142
TRAIN_5389,0.142
TRAIN_6664,0.142
TRAIN_0168,0.141
TRAIN_0533,0.141
TRAIN_0652,0.141
TRAIN_1050,0.141
TRAIN_1896,0.141
TRAIN_3192,0.141
TRAIN_4438,0.141
TRAIN_5695,0.141
TRAIN_5771,0.141
TRAIN_6788,0.141
TRAIN_0449,0.14
TRAIN_1566,0.14
TRAIN_1684,0.14
TRAIN_2726,0.14
TRAIN_2886,0.14
TRAIN_3095,0.14
TRAIN_3579,0.14
TRAIN_3917,0.14
TRAIN_4062,0.14
TRAIN_5406,0.14
TRAIN_5540,0.14
TRAIN_6544,0.14
TRAIN_7114,0.14
TRAIN_0009,0.139
TRAIN_1858,0.139
TRAIN_1915,0.139
TRAIN_3675,0.139
TRAIN_5846,0.139
TRAIN_6019,0.139
TRAIN_6666,0.139
TRAIN_0117,0.138
TRAIN_0984,0.138
TRAIN_1267,0.138
TRAIN_1281,0.138
TRAIN_3566,0.138
TRAIN_3804,0.138
TRAIN_0115,0.137
TRAIN_0621,0.137
TRAIN_1636,0.137
TRAIN_1710,0.137
TRAIN_2094,0.137
TRAIN_2149,0.137
TRAIN_2453,0.137
TRAIN_3439,0.137
TRAIN_3565,0.137
TRAIN_3920,0.137
TRAIN_5154,0.137
TRAIN_6280,0.137
TRAIN_6463,0.137
TRAIN_0277,0.136
TRAIN_0563,0.136
TRAIN_0588,0.136
TRAIN_0963,0.136
TRAIN_0996,0.136
TRAIN_1605,0.136
TRAIN_3177,0.136
TRAIN_4116,0.136
TRAIN_4170,0.136
TRAIN_5572,0.136
TRAIN_5681,0.136
TRAIN_6717,0.136
TRAIN_0003,0.135
TRAIN_0051,0.135
TRAIN_0587,0.135
TRAIN_0688,0.135
TRAIN_0693,0.135
TRAIN_0999,0.135
TRAIN_1238,0.135
TRAIN_2076,0.135
TRAIN_3953,0.135
TRAIN_5851,0.135
TRAIN_5929,0.135
TRAIN_6426,0.135
TRAIN_0099,0.134
TRAIN_0323,0.134
TRAIN_1007,0.134
TRAIN_1706,0.134
TRAIN_3218,0.134
TRAIN_4798,0.134
TRAIN_6055,0.134
TRAIN_1207,0.133
TRAIN_1367,0.133
TRAIN_2048,0.133
TRAIN_2161,0.133
TRAIN_2655,0.133
TRAIN_3545,0.133
TRAIN_4753,0.133
TRAIN_6191,0.133
TRAIN_6529,0.133
TRAIN_7109,0.133
TRAIN_0038,0.132
TRAIN_0195,0.132
TRAIN_0264,0.132
TRAIN_0707,0.132
TRAIN_1395,0.132
TRAIN_2811,0.132
TRAIN_3811,0.132
TRAIN_3916,0.132
TRAIN_5237,0.132
TRAIN_5272,0.132
TRAIN_5509,0.132
TRAIN_6059,0.132
TRAIN_6935,0.132
TRAIN_0108,0.131
TRAIN_0343,0.131
TRAIN_0627,0.131
TRAIN_0739,0.131
TRAIN_2598,0.131
TRAIN_2829,0.131
TRAIN_3611,0.131
TRAIN_4268,0.131
TRAIN_4430,0.131
TRAIN_4527,0.131
TRAIN_4808,0.131
TRAIN_4859,0.131
TRAIN_5322,0.131
TRAIN_5607,0.131
TRAIN_6265,0.131
TRAIN_6344,0.131
TRAIN_6613,0.131
TRAIN_0849,0.13
TRAIN_0883,0.13
TRAIN_1990,0.13
TRAIN_2606,0.13
TRAIN_3048,0.13
TRAIN_3100,0.13
TRAIN_3276,0.13
TRAIN_3289,0.13
TRAIN_3394,0.13
TRAIN_4124,0.13
TRAIN_4166,0.13
TRAIN_4196,0.13
TRAIN_5186,0.13
TRAIN_5591,0.13
TRAIN_6274,0.13
TRAIN_6662,0.13
TRAIN_6919,0.13
TRAIN_0123,0.129
TRAIN_0550,0.129
TRAIN_0852,0.129
TRAIN_1358,0.129
TRAIN_2409,0.129
TRAIN_2618,0.129
TRAIN_2873,0.129
TRAIN_3318,0.129
TRAIN_3399,0.129
TRAIN_3667,0.129
TRAIN_3898,0.129
TRAIN_4537,0.129
TRAIN_4746,0.129
TRAIN_6876,0.129
TRAIN_0067,0.128
TRAIN_0147,0.128
TRAIN_0206,0.128
TRAIN_0235,0.128
TRAIN_0714,0.128
TRAIN_1138,0.128
TRAIN_1494,0.128
TRAIN_2612,0.128
TRAIN_2727,0.128
TRAIN_3610,0.128
TRAIN_4317,0.128
TRAIN_4531,0.128
TRAIN_4710,0.128
TRAIN_4799,0.128
TRAIN_5202,0.128
TRAIN_5766,0.128
TRAIN_6414,0.128
TRAIN_7103,0.128
TRAIN_0127,0.127
TRAIN_0464,0.127
TRAIN_1581,0.127
TRAIN_1587,0.127
TRAIN_1882,0.127
TRAIN_2399,0.127
TRAIN_3344,0.127
TRAIN_4523,0.127
TRAIN_5912,0.127
TRAIN_6480,0.127
TRAIN_0010,0.126
TRAIN_0121,0.126
TRAIN_0179,0.126
TRAIN_0511,0.126
TRAIN_0622,0.126
TRAIN_0712,0.126
TRAIN_2380,0.126
TRAIN_2558,0.126
TRAIN_3332,0.126
TRAIN_3720,0.126
TRAIN_4448,0.126
TRAIN_4487,0.126
TRAIN_4603,0.126
TRAIN_4682,0.126
TRAIN_5342,0.126
TRAIN_5660,0.126
TRAIN_5840,0.126
TRAIN_6314,0.126
TRAIN_6827,0.126
TRAIN_0426,0.125
TRAIN_0866,0.125
TRAIN_0899,0.125
TRAIN_1335,0.125
TRAIN_1506,0.125
TRAIN_1552,0.125
TRAIN_1630,0.125
TRAIN_2224,0.125
TRAIN_2428,0.125
TRAIN_2973,0.125
TRAIN_3558,0.125
TRAIN_3911,0.125
TRAIN_4553,0.125
TRAIN_4572,0.125
TRAIN_4925,0.125
TRAIN_5417,0.125
TRAIN_5702,0.125
TRAIN_5765,0.125
TRAIN_5849,0.125
TRAIN_6500,0.125
TRAIN_1548,0.124
TRAIN_1824,0.124
TRAIN_2594,0.124
TRAIN_2661,0.124
TRAIN_2725,0.124
TRAIN_3062,0.124
TRAIN_4414,0.124
TRAIN_5910,0.124
TRAIN_5933,0.124
TRAIN_6146,0.124
TRAIN_6289,0.124
TRAIN_6659,0.124
TRAIN_0020,0.123
TRAIN_0052,0.123
TRAIN_0931,0.123
TRAIN_1109,0.123
TRAIN_1319,0.123
TRAIN_1703,0.123
TRAIN_1765,0.123
TRAIN_2112,0.123
TRAIN_2673,0.123
TRAIN_2839,0.123
TRAIN_3560,0.123
TRAIN_4155,0.123
TRAIN_4312,0.123
TRAIN_5043,0.123
TRAIN_5197,0.123
TRAIN_5626,0.123
TRAIN_6331,0.123
TRAIN_6452,0.123
TRAIN_0007,0.122
TRAIN_0243,0.122
TRAIN_0255,0.122
TRAIN_0286,0.122
TRAIN_0437,0.122
TRAIN_1058,0.122
TRAIN_1426,0.122
TRAIN_1657,0.122
TRAIN_2430,0.122
TRAIN_3355,0.122
TRAIN_3511,0.122
TRAIN_3717,0.122
TRAIN_3858,0.122
TRAIN_4144,0.122
TRAIN_4236,0.122
TRAIN_4913,0.122
TRAIN_5079,0.122
TRAIN_5099,0.122
TRAIN_5287,0.122
TRAIN_5785,0.122
TRAIN_5881,0.122
TRAIN_6105,0.122
TRAIN_6216,0.122
TRAIN_6319,0.122
TRAIN_6923,0.122
TRAIN_7082,0.122
TRAIN_0678,0.121
TRAIN_1478,0.121
TRAIN_1712,0.121
TRAIN_2711,0.121
TRAIN_4073,0.121
TRAIN_4670,0.121
TRAIN_5770,0.121
TRAIN_5898,0.121
TRAIN_6326,0.121
TRAIN_6399,0.121
TRAIN_6520,0.121
TRAIN_7093,0.121
TRAIN_0568,0.12
TRAIN_1316,0.12
TRAIN_1667,0.12
TRAIN_2015,0.12
TRAIN_3089,0.12
TRAIN_3539,0.12
TRAIN_3736,0.12
TRAIN_4000,0.12
TRAIN_4474,0.12
TRAIN_4497,0.12
TRAIN_5796,0.12
TRAIN_5953,0.12
TRAIN_6208,0.12
TRAIN_6332,0.12
TRAIN_0082,0.119
TRAIN_0663,0.119
TRAIN_0708,0.119
TRAIN_1827,0.119
TRAIN_2153,0.119
TRAIN_2317,0.119
TRAIN_2444,0.119
TRAIN_2798,0.119
TRAIN_3267,0.119
TRAIN_3366,0.119
TRAIN_3852,0.119
TRAIN_4598,0.119
TRAIN_4663,0.119
TRAIN_5134,0.119
TRAIN_5238,0.119
TRAIN_5290,0.119
TRAIN_5874,0.119
TRAIN_6293,0.119
TRAIN_6528,0.119
TRAIN_6650,0.119
TRAIN_0547,0.118
TRAIN_0789,0.118
TRAIN_0843,0.118
TRAIN_1144,0.118
TRAIN_2350,0.118
TRAIN_2464,0.118
TRAIN_2600,0.118
TRAIN_2748,0.118
TRAIN_3146,0.118
TRAIN_4228,0.118
TRAIN_4310,0.118
TRAIN_4377,0.118
TRAIN_4432,0.118
TRAIN_5153,0.118
TRAIN_5615,0.118
TRAIN_5814,0.118
TRAIN_5917,0.118
TRAIN_6029,0.118
TRAIN_6603,0.118
TRAIN_0192,0.117
TRAIN_0420,0.117
TRAIN_0572,0.117
TRAIN_0625,0.117
TRAIN_0769,0.117
TRAIN_0939,0.117
TRAIN_1244,0.117
TRAIN_2019,0.117
TRAIN_2126,0.117
TRAIN_3343,0.117
TRAIN_3574,0.117
TRAIN_4030,0.117
TRAIN_4515,0.117
TRAIN_4622,0.117
TRAIN_4640,0.117
TRAIN_4658,0.117
TRAIN_4949,0.117
TRAIN_6447,0.117
TRAIN_0092,0.116
TRAIN_1523,0.116
TRAIN_1660,0.116
TRAIN_2397,0.116
TRAIN_2497,0.116
TRAIN_2523,0.116
TRAIN_3015,0.116
TRAIN_3196,0.116
TRAIN_4033,0.116
TRAIN_4279,0.116
TRAIN_4494,0.116
TRAIN_5450,0.116
TRAIN_5616,0.116
TRAIN_5725,0.116
TRAIN_5833,0.116
TRAIN_6035,0.116
TRAIN_6115,0.116
TRAIN_6185,0.116
TRAIN_6753,0.116
TRAIN_6854,0.116
TRAIN_0295,0.115
TRAIN_0597,0.115
TRAIN_0607,0.115
TRAIN_0760,0.115
TRAIN_1020,0.115
TRAIN_1268,0.115
TRAIN_1716,0.115
TRAIN_2159,0.115
TRAIN_2339,0.115
TRAIN_3354,0.115
TRAIN_3361,0.115
TRAIN_3402,0.115
TRAIN_3411,0.115
TRAIN_3605,0.115
TRAIN_3639,0.115
TRAIN_3853,0.115
TRAIN_4180,0.115
TRAIN_5276,0.115
TRAIN_5901,0.115
TRAIN_6366,0.115
TRAIN_6779,0.115
TRAIN_0065,0.114
TRAIN_1192,0.114
TRAIN_1321,0.114
TRAIN_1440,0.114
TRAIN_1862,0.114
TRAIN_1943,0.114
TRAIN_2038,0.114
TRAIN_2394,0.114
TRAIN_2483,0.114
TRAIN_2935,0.114
TRAIN_3214,0.114
TRAIN_3845,0.114
TRAIN_4316,0.114
TRAIN_5207,0.114
TRAIN_5216,0.114
TRAIN_6250,0.114
TRAIN_0084,0.113
TRAIN_0332,0.113
TRAIN_1770,0.113
TRAIN_2062,0.113
TRAIN_2280,0.113
TRAIN_2981,0.113
TRAIN_3009,0.113
TRAIN_3353,0.113
TRAIN_3453,0.113
TRAIN_3533,0.113
TRAIN_3792,0.113
TRAIN_3803,0.113
TRAIN_3816,0.113
TRAIN_3827,0.113
TRAIN_4424,0.113
TRAIN_4521,0.113
TRAIN_4620,0.113
TRAIN_4665,0.113
TRAIN_5812,0.113
TRAIN_5942,0.113
TRAIN_6052,0.113
TRAIN_6189,0.113
TRAIN_6652,0.113
TRAIN_0252,0.112
TRAIN_0638,0.112
TRAIN_0738,0.112
TRAIN_0799,0.112
TRAIN_1011,0.112
TRAIN_1199,0.112
TRAIN_1380,0.112
TRAIN_2060,0.112
TRAIN_2109,0.112
TRAIN_2327,0.112
TRAIN_2356,0.112
TRAIN_2376,0.112
TRAIN_2548,0.112
TRAIN_2731,0.112
TRAIN_2861,0.112
TRAIN_2888,0.112
TRAIN_2900,0.112
TRAIN_2907,0.112
TRAIN_3370,0.112
TRAIN_3395,0.112
TRAIN_3434,0.112
TRAIN_3688,0.112
TRAIN_3718,0.112
TRAIN_4563,0.112
TRAIN_4807,0.112
TRAIN_4908,0.112
TRAIN_5013,0.112
TRAIN_5028,0.112
TRAIN_5086,0.112
TRAIN_5877,0.112
TRAIN_6097,0.112
TRAIN_6491,0.112
TRAIN_6568,0.112
TRAIN_6710,0.112
TRAIN_6855,0.112
TRAIN_0101,0.111
TRAIN_0152,0.111
TRAIN_0272,0.111
TRAIN_0465,0.111
TRAIN_0595,0.111
TRAIN_1157,0.111
TRAIN_1892,0.111
TRAIN_2069,0.111
TRAIN_2190,0.111
TRAIN_2285,0.111
TRAIN_2671,0.111
TRAIN_2914,0.111
TRAIN_3408,0.111
TRAIN_3530,0.111
TRAIN_3755,0.111
TRAIN_4192,0.111
TRAIN_4442,0.111
TRAIN_5138,0.111
TRAIN_5763,0.111
TRAIN_5783,0.111
TRAIN_6016,0.111
TRAIN_6253,0.111
TRAIN_6310,0.111
TRAIN_6382,0.111
TRAIN_6994,0.111
TRAIN_0308,0.11
TRAIN_0793,0.11
TRAIN_1558,0.11
TRAIN_2151,0.11
TRAIN_2191,0.11
TRAIN_2431,0.11
TRAIN_3086,0.11
TRAIN_3160,0.11
TRAIN_3263,0.11
TRAIN_3711,0.11
TRAIN_4333,0.11
TRAIN_4421,0.11
TRAIN_5574,0.11
TRAIN_5585,0.11
TRAIN_6004,0.11
TRAIN_6129,0.11
TRAIN_6702,0.11
TRAIN_6783,0.11
TRAIN_0156,0.109
TRAIN_0396,0.109
TRAIN_0591,0.109
TRAIN_0653,0.109
TRAIN_0804,0.109
TRAIN_1234,0.109
TRAIN_1261,0.109
TRAIN_1454,0.109
TRAIN_1616,0.109
TRAIN_1929,0.109
TRAIN_2842,0.109
TRAIN_3334,0.109
TRAIN_3429,0.109
TRAIN_3897,0.109
TRAIN_4209,0.109
TRAIN_4412,0.109
TRAIN_4727,0.109
TRAIN_5098,0.109
TRAIN_5190,0.109
TRAIN_5925,0.109
TRAIN_5930,0.109
TRAIN_6946,0.109
TRAIN_6988,0.109
TRAIN_0058,0.108
TRAIN_0542,0.108
TRAIN_0734,0.108
TRAIN_0838,0.108
TRAIN_1226,0.108
TRAIN_1287,0.108
TRAIN_1387,0.108
TRAIN_1546,0.108
TRAIN_2518,0.108
TRAIN_3215,0.108
TRAIN_4371,0.108
TRAIN_4431,0.108
TRAIN_4486,0.108
TRAIN_5482,0.108
TRAIN_6181,0.108
TRAIN_6386,0.108
TRAIN_6616,0.108
TRAIN_6617,0.108
TRAIN_6801,0.108
TRAIN_6983,0.108
TRAIN_7010,0.108
TRAIN_0100,0.107
TRAIN_1461,0.107
TRAIN_1776,0.107
TRAIN_1968,0.107
TRAIN_2336,0.107
TRAIN_2449,0.107
TRAIN_2724,0.107
TRAIN_2815,0.107
TRAIN_3103,0.107
TRAIN_3431,0.107
TRAIN_3731,0.107
TRAIN_3872,0.107
TRAIN_4044,0.107
TRAIN_4121,0.107
TRAIN_4139,0.107
TRAIN_4548,0.107
TRAIN_4863,0.107
TRAIN_5020,0.107
TRAIN_5182,0.107
TRAIN_5533,0.107
TRAIN_5713,0.107
TRAIN_5756,0.107
TRAIN_5964,0.107
TRAIN_6142,0.107
TRAIN_6417,0.107
TRAIN_6477,0.107
TRAIN_6493,0.107
TRAIN_6726,0.107
TRAIN_6737,0.107
TRAIN_7030,0.107
TRAIN_0049,0.106
TRAIN_0717,0.106
TRAIN_0847,0.106
TRAIN_1028,0.106
TRAIN_1052,0.106
TRAIN_1196,0.106
TRAIN_1353,0.106
TRAIN_1720,0.106
TRAIN_1758,0.106
TRAIN_1844,0.106
TRAIN_1857,0.106
TRAIN_1918,0.106
TRAIN_2252,0.106
TRAIN_2424,0.106
TRAIN_2937,0.106
TRAIN_3087,0.106
TRAIN_3268,0.106
TRAIN_3277,0.106
TRAIN_3317,0.106
TRAIN_4171,0.106
TRAIN_4324,0.106
TRAIN_4439,0.106
TRAIN_4748,0.106
TRAIN_5289,0.106
TRAIN_5303,0.106
TRAIN_5440,0.106
TRAIN_5441,0.106
TRAIN_5934,0.106
TRAIN_6889,0.106
TRAIN_0026,0.105
TRAIN_0142,0.105
TRAIN_0167,0.105
TRAIN_0617,0.105
TRAIN_0828,0.105
TRAIN_1571,0.105
TRAIN_1679,0.105
TRAIN_2003,0.105
TRAIN_2615,0.105
TRAIN_2619,0.105
TRAIN_2656,0.105
TRAIN_2917,0.105
TRAIN_2940,0.105
TRAIN_3869,0.105
TRAIN_4043,0.105
TRAIN_5063,0.105
TRAIN_5085,0.105
TRAIN_5176,0.105
TRAIN_5326,0.105
TRAIN_5778,0.105
TRAIN_6044,0.105
TRAIN_6086,0.105
TRAIN_6257,0.105
TRAIN_6263,0.105
TRAIN_6374,0.105
TRAIN_7108,0.105
TRAIN_7132,0.105
TRAIN_0102,0.104
TRAIN_0611,0.104
TRAIN_0893,0.104
TRAIN_1729,0.104
TRAIN_1868,0.104
TRAIN_2045,0.104
TRAIN_2087,0.104
TRAIN_2590,0.104
TRAIN_2599,0.104
TRAIN_2703,0.104
TRAIN_2708,0.104
TRAIN_2856,0.104
TRAIN_2892,0.104
TRAIN_3007,0.104
TRAIN_3025,0.104
TRAIN_3262,0.104
TRAIN_3414,0.104
TRAIN_3551,0.104
TRAIN_3603,0.104
TRAIN_3653,0.104
TRAIN_3664,0.104
TRAIN_4547,0.104
TRAIN_4556,0.104
TRAIN_4742,0.104
TRAIN_5177,0.104
TRAIN_5587,0.104
TRAIN_5619,0.104
TRAIN_6152,0.104
TRAIN_6164,0.104
TRAIN_6636,0.104
TRAIN_6695,0.104
TRAIN_6730,0.104
TRAIN_7046,0.104
TRAIN_7097,0.104
TRAIN_0149,0.103
TRAIN_0176,0.103
TRAIN_0302,0.103
TRAIN_0445,0.103
TRAIN_0601,0.103
TRAIN_0674,0.103
TRAIN_0731,0.103
TRAIN_0884,0.103
TRAIN_0908,0.103
TRAIN_0949,0.103
TRAIN_1689,0.103
TRAIN_2307,0.103
TRAIN_2633,0.103
TRAIN_2781,0.103
TRAIN_3052,0.103
TRAIN_3135,0.103
TRAIN_3939,0.103
TRAIN_3963,0.103
TRAIN_4078,0.103
TRAIN_4986,0.103
TRAIN_5347,0.103
TRAIN_5854,0.103
TRAIN_5975,0.103
TRAIN_6005,0.103
TRAIN_6231,0.103
TRAIN_6249,0.103
TRAIN_6284,0.103
TRAIN_6470,0.103
TRAIN_6784,0.103
TRAIN_6892,0.103
TRAIN_0498,0.102
TRAIN_0824,0.102
TRAIN_0848,0.102
TRAIN_0977,0.102
TRAIN_1023,0.102
TRAIN_1378,0.102
TRAIN_1639,0.102
TRAIN_1895,0.102
TRAIN_2716,0.102
TRAIN_3230,0.102
TRAIN_3548,0.102
TRAIN_3652,0.102
TRAIN_3966,0.102
TRAIN_4065,0.102
TRAIN_4147,0.102
TRAIN_4297,0.102
TRAIN_4389,0.102
TRAIN_4583,0.102
TRAIN_4703,0.102
TRAIN_4786,0.102
TRAIN_5102,0.102
TRAIN_5165,0.102
TRAIN_5436,0.102
TRAIN_5740,0.102
TRAIN_5841,0.102
TRAIN_6068,0.102
TRAIN_6545,0.102
TRAIN_6554,0.102
TRAIN_6691,0.102
TRAIN_6835,0.102
TRAIN_7099,0.102
TRAIN_0107,0.101
TRAIN_0122,0.101
TRAIN_0171,0.101
TRAIN_0211,0.101
TRAIN_1082,0.101
TRAIN_1162,0.101
TRAIN_1611,0.101
TRAIN_1793,0.101
TRAIN_2202,0.101
TRAIN_2318,0.101
TRAIN_3036,0.101
TRAIN_3299,0.101
TRAIN_3309,0.101
TRAIN_3406,0.101
TRAIN_3618,0.101
TRAIN_3923,0.101
